;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SAME;SAME;DELETE;SAME;SAME;SAME;SAME;SAME;NEW;RENAME;DELETE;NEW;RENAME;NEW;SAME;NEW;RENAME;NEW;Rename;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE;DELETE
;NL0015000EE3;06-05-25;;NL0015000EE3;NL;SES5N;EN Sovereign Economy Selection EZ50 NR;XAMS;;;2462.91;;2477.11;;2477.111368;;;;;;;NL0015000EF0;;;;0.122332002;AT0000746409;ECB;TR1;Indices;;;;;0;
;NL0015000EC7;06-05-25;;NL0015000EC7;NL;SES5G;EN Sovereign Economy Selection EZ50 GR;XAMS;;;3030.82;;3050.57;;3050.56953;;;;;;;NL0015000EF0;;;0.168733796;;AT0000746409;ECB;TR1;Indices;;;;;0;
;NL0015000AW3;06-05-25;;NL0015000AW3;NL;BANKD;Euronext Eurozone Banks Decrement 5%;XAMS;;;828.55;;833.25;;833.2480673;;;;;;;NL0015000AT9;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0015000AV5;06-05-25;;NL0015000AV5;NL;BANKG;Euronext Eurozone Banks GR;XAMS;;;2078.42;;2091.06;;2091.061366;;;;;;;NL0015000AR3;;;0.957541384;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0015000AT9;06-05-25;;NL0015000AT9;NL;BANKN;Euronext Eurozone Banks NR;XAMS;;;1785.1;;1795.95;;1795.950543;;;;;;;NL0015000AR3;;;;0.670278969;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0015000AR3;06-05-25;;NL0015000AR3;NL;BANK;Euronext Eurozone Banks;XAMS;;755471516.7;1072.29;;1078.81;;1078.806704;;8.15008E+11;;29;EUR;1;;NL0015000AV5;NL0015000AT9;;;;ECB;EU Price;Indices;;;;;0;
;NL0015000AD3;06-05-25;;NL0015000AD3;FR;EEED5;Euronext EZ ESGL 40 EW Decrement 5%;XPAR;;;1520.62;;1528.34;;1528.343388;;;;;;;NL0015000AB7;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0015000AC5;06-05-25;;NL0015000AC5;FR;EEEGR;Euronext EZ ESGL 40 EW GR;XPAR;;;4694.04;;4724.42;;4724.41672;;;;;;;NL0015000AA9;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0015000AB7;06-05-25;;NL0015000AB7;FR;EEENR;Euronext EZ ESGL 40 EW NR;XPAR;;;4001.85;;4023.82;;4023.821996;;;;;;;NL0015000AA9;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0015000AA9;06-05-25;;NL0015000AA9;FR;EEEPR;Euronext EZ ESGL 40 EW;XPAR;;994427.2171;2427.7;;2434.04;;2434.035409;;2420471058;;40;EUR;1;;NL0015000AC5;NL0015000AB7;;;;ECB;EU Price;Indices;;;;;0;
;NL0014913311;06-05-25;;NL0014913311;FR;FREN4;EN CDP Environment France EW Decrement 4%;XPAR;;;1395.89;;1396.2;;1396.200591;;;;;;;NL0013025497;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.04;1;365;0;
;NL0014787061;06-05-25;;NL0014787061;NL;NLREG;AEX Real Estate GR;XAMS;;;869.56;;869.47;;869.4742544;;;;;;;NL0014787053;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0014787053;06-05-25;;NL0014787053;NL;NLRE;AEX Real Estate;XAMS;;36800453.15;682.54;;682.48;;682.4800474;;25115575007;;11;EUR;1;;NL0014787061;;;;;ECB;EU Price;Indices;;;;;0;
;NL0014130411;06-05-25;;NL0014130411;NL;ESGDE;Euronext Eurozone 100 ESG Decrement 3.5%;XAMS;;;1488.62;;1493.51;;1493.514753;;;;;;;NL0013025604;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.035;1;365;0;
;NL0013995343;06-05-25;;NL0013995343;NL;ESGED;Euronext Eurozone 100 ESG Decrement 4.5%;XAMS;;;1226.66;;1230.59;;1230.591929;;;;;;;NL0013025604;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.045;1;365;0;
;NL0013941057;06-05-25;;NL0013941057;FR;EZESG;EN CDP Environment ESG Eurozone EW D5%;XPAR;;;1054.43;;1055.51;;1055.512107;;;;;;;NL0013941032;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013941040;06-05-25;;NL0013941040;FR;EESGG;EN CDP Environment ESG Eurozone EW GR;XPAR;;;3332.37;;3338.41;;3338.407662;;;;;;;NL0013941024;;;1.176249355;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013941032;06-05-25;;NL0013941032;FR;EESGN;EN CDP Environment ESG Eurozone EW NR;XPAR;;;2775.03;;2779.02;;2779.02223;;;;;;;NL0013941024;;;;0.823374548;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013941024;06-05-25;;NL0013941024;FR;EESGP;EN CDP Environment ESG Eurozone EW;XPAR;;974951.3107;1586.09;;1586.59;;1586.592918;;1546850845;;50;EUR;1;;NL0013941040;NL0013941032;;;;ECB;EU Price;Indices;;;;;0;
;NL0013908866;06-05-25;;NL0013908866;FR;WAT4D;EN Water and Ocean Europe 40 EW D4%;XPAR;;;1571.96;;1578.09;;1578.085542;;;;;;;NL0013908833;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.04;1;365;0;
;NL0013908858;06-05-25;;NL0013908858;FR;WAT5D;EN Water and Ocean Europe 40 EW D5%;XPAR;;;1347.83;;1352.97;;1352.96984;;;;;;;NL0013908833;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013908841;06-05-25;;NL0013908841;FR;WATGR;EN Water and Ocean Europe 40 EW GR;XPAR;;;3338.25;;3354.33;;3354.330396;;;;;;;NL0013908825;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0013908833;06-05-25;;NL0013908833;FR;WATNR;EN Water and Ocean Europe 40 EW NR;XPAR;;;2908.26;;2920.56;;2920.557135;;;;;;;NL0013908825;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0013908825;06-05-25;;NL0013908825;FR;WATPR;EN Water and Ocean Europe 40 EW;XPAR;;906868.1832;1952.27;;1957.06;;1957.064648;;1774799662;;40;EUR;1;;NL0013908841;NL0013908833;;;;ECB;EU Price;Indices;;;;;0;
;NL0013639420;06-05-25;;NL0013639420;NL;ESGEL;EN Eurozone ESG Leaders 40 EW D3.5%;XAMS;;;2458.05;;2463.99;;2463.994702;;;;;;;NL0012758551;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.035;1;365;0;
;NL0013474224;06-05-25;;NL0013474224;NL;COP5D;EN Climate Orientation Prior 50 EW 4.5%D;XAMS;;;1953.85;;1961.86;;1961.862634;;;;;;;NL0011923065;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.045;1;365;0;
;NL0013352594;06-05-25;;NL0013352594;NL;EZENV;Euronext CDP Environment Eurozone EW D5%;XAMS;;;1049.63;;1050.61;;1050.611231;;;;;;;NL0013352578;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013352586;06-05-25;;NL0013352586;NL;EZENG;Euronext CDP Environment Eurozone EW GR;XAMS;;;3312.76;;3318.47;;3318.466517;;;;;;;NL0013352560;;;1.176365535;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013352578;06-05-25;;NL0013352578;NL;EZENN;Euronext CDP Environment Eurozone EW NR;XAMS;;;2762.39;;2766.12;;2766.11573;;;;;;;NL0013352560;;;;0.823455874;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013352560;06-05-25;;NL0013352560;NL;EZENP;Euronext CDP Environment Eurozone EW;XAMS;;973596.4854;1585.95;;1586.31;;1586.308224;;1544424111;;50;EUR;1;;NL0013352586;NL0013352578;;;;ECB;EU Price;Indices;;;;;0;
;NL0013273063;06-05-25;;NL0013273063;NL;EZ3GR;Euronext Eurozone 300 GR;XAMS;;;3329.87;;3341.77;;3341.767321;;;;;;;NL0013273048;;;0.518224794;;AT0000746409 BE0003565737 BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0013273055;06-05-25;;NL0013273055;NL;EZ3NR;Euronext Eurozone 300 NR;XAMS;;;2848.37;;2857.17;;2857.165591;;;;;;;NL0013273048;;;;0.36405571;AT0000746409 BE0003565737 BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0013273048;06-05-25;;NL0013273048;NL;EZ300;Euronext Eurozone 300;XAMS;;3671217900;1732.28;;1735.17;;1735.172428;;6.3702E+12;;300;EUR;1;;NL0013273063;NL0013273055;;;;ECB;EU Price;Indices;;;;;0;
;NL0013273030;06-05-25;;NL0013273030;NL;EU5GR;Euronext Europe 500 GR;XAMS;;;3428.99;;3438.69;;3438.69023;;;;;;;NL0013273014;;;0.351918963;;AT0000746409 BE0003565737 BE0974293251 SE0015961909;ECB;TR1;Indices;;;;;0;
;NL0013273022;06-05-25;;NL0013273022;NL;EU5NR;Euronext Europe 500 NR;XAMS;;;3050.83;;3058.59;;3058.591953;;;;;;;NL0013273014;;;;0.247108116;AT0000746409 BE0003565737 BE0974293251 SE0015961909;ECB;TR1;Indices;;;;;0;
;NL0013273014;06-05-25;;NL0013273014;NL;EU500;Euronext Europe 500;XAMS;;6232064409;1752.98;;1755.99;;1755.986387;;1.09434E+13;;499;EUR;1;;NL0013273030;NL0013273022;;;;ECB;EU Price;Indices;;;;;0;
;NL0013217763;06-05-25;;NL0013217763;FR;ERI5E;EN Responsible Investment Euro 50 EW D5%;XPAR;;;972.1;;974.76;;974.763942;;;;;;;NL0013217748;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013217755;06-05-25;;NL0013217755;FR;ERI5G;EN Responsible Investment Euro 50 EW GR;XPAR;;;2634.51;;2644.25;;2644.251967;;;;;;;NL0013217730;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0013217748;06-05-25;;NL0013217748;FR;ERI5N;EN Responsible Investment Euro 50 EW NR;XPAR;;;2314.66;;2321.96;;2321.960393;;;;;;;NL0013217730;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0013217730;06-05-25;;NL0013217730;FR;ERI5P;EN Responsible Investment Euro 50 EW;XPAR;;882000.9886;1560.9;;1563.27;;1563.267053;;1378803086;;50;EUR;1;;NL0013217755;NL0013217748;;;;ECB;EU Price;Indices;;;;;0;
;NL0013110257;06-05-25;;NL0013110257;NL;CESG1;Euronext Core Europe 100 ESG EW D 5% NR;XAMS;;;1356.33;;1361.36;;1361.356763;;;;;;;NL0013110232;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013110240;06-05-25;;NL0013110240;NL;CEE1G;Euronext Core Europe 100 ESG EW GR;XAMS;;;4144.87;;4163.28;;4163.284909;;;;;;;NL0013110224;;;0.866756461;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013110232;06-05-25;;NL0013110232;NL;CEE1N;Euronext Core Europe 100 ESG EW NR;XAMS;;;3569.64;;3584.33;;3584.325431;;;;;;;NL0013110224;;;;0.606729523;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013110224;06-05-25;;NL0013110224;NL;CEE1P;Euronext Core Europe 100 ESG EW;XAMS;;960035.0703;2316.84;;2324.1;;2324.102026;;2231219452;;100;EUR;1;;NL0013110240;NL0013110232;;;;ECB;EU Price;Indices;;;;;0;
;NL0013039282;06-05-25;;NL0013039282;NL;FRENE;EN CDP ENV FR Oil & Gas EW D 5%;XAMS;;;939.57;;938.94;;938.9398611;;;;;;;NL0013039266;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013039274;06-05-25;;NL0013039274;NL;FREEG;EN CDP ENV FR Ex Oil & Gas EW GR;XAMS;;;2912.48;;2913.11;;2913.109647;;;;;;;NL0013039258;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0013039266;06-05-25;;NL0013039266;NL;FREEN;EN CDP ENV FR Ex Oil & Gas EW NR;XAMS;;;2473.1;;2472.46;;2472.457323;;;;;;;NL0013039258;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0013039258;06-05-25;;NL0013039258;NL;FREEP;EN CDP ENV FR Ex Oil & Gas EW;XAMS;;990257.0507;1629.11;;1626.36;;1626.35912;;1610513585;;40;EUR;1;;NL0013039274;NL0013039266;;;;ECB;EU Price;Indices;;;;;0;
;NL0013026941;06-05-25;;NL0013026941;NL;CESG3;EN Core Europe 30 ESG EW Decrement 5% NR;XAMS;;;882.27;;883.89;;883.888735;;;;;;;NL0013026925;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013026933;06-05-25;;NL0013026933;NL;CEE3G;EN Core Europe 30 ESG EW GR;XAMS;;;2751.15;;2759.06;;2759.058024;;;;;;;NL0013026917;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0013026925;06-05-25;;NL0013026925;NL;CEE3N;EN Core Europe 30 ESG EW NR;XAMS;;;2322.16;;2327.38;;2327.383305;;;;;;;NL0013026917;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0013026917;06-05-25;;NL0013026917;NL;CEE3P;EN Core Europe 30 ESG EW;XAMS;;1009485.924;1445.65;;1446.19;;1446.188712;;1459907149;;30;EUR;1;;NL0013026933;NL0013026925;;;;ECB;EU Price;Indices;;;;;0;
;NL0013025729;06-05-25;;NL0013025729;NL;BESGD;Euronext BeNeLux ESG Leaders 20 D 4.5%;XAMS;;;1665.63;;1677.44;;1677.438564;;;;;;;NL0013025703;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.045;1;365;0;
;NL0013025711;06-05-25;;NL0013025711;NL;BESGG;Euronext BeNeLux ESG Leaders 20 GR;XAMS;;;4522.48;;4556.22;;4556.220024;;;;;;;NL0013025695;;;3.921724346;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013025703;06-05-25;;NL0013025703;NL;BESGN;Euronext BeNeLux ESG Leaders 20 NR;XAMS;;;3978.91;;4008.6;;4008.597005;;;;;;;NL0013025695;;;;2.745207042;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013025695;06-05-25;;NL0013025695;NL;BESGP;Euronext BeNeLux ESG Leaders 20;XAMS;;946186.9124;2196.65;;2213.04;;2213.038824;;2093948372;;20;EUR;1;;NL0013025711;NL0013025703;;;;ECB;EU Price;Indices;;;;;0;
;NL0013025620;06-05-25;;NL0013025620;NL;ESG1D;Euronext Eurozone 100 ESG Decrement 5%;XAMS;;;1113.5;;1117.02;;1117.023718;;;;;;;NL0013025604;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013025612;06-05-25;;NL0013025612;NL;ESG1G;Euronext Eurozone 100 ESG GR;XAMS;;;3473.36;;3486.89;;3486.893916;;;;;;;NL0013025596;;;0.520165562;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013025604;06-05-25;;NL0013025604;NL;ESG1N;Euronext Eurozone 100 ESG NR;XAMS;;;2930.6;;2941.08;;2941.082553;;;;;;;NL0013025596;;;;0.364115893;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013025596;06-05-25;;NL0013025596;NL;ESG1P;Euronext Eurozone 100 ESG;XAMS;;835114.1095;1754.49;;1759.08;;1759.077095;;1469030102;;100;EUR;1;;NL0013025612;NL0013025604;;;;ECB;EU Price;Indices;;;;;0;
;NL0013025588;06-05-25;;NL0013025588;NL;ECO5E;EN Climate Objective 50 Euro EW D5%;XAMS;;;1529.45;;1534.99;;1534.993236;;;;;;;NL0013025562;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013025570;06-05-25;;NL0013025570;NL;ECO5G;EN Climate Objective 50 Euro EW GR;XAMS;;;3524.66;;3542.39;;3542.388794;;;;;;;NL0013025554;;;1.666281453;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013025562;06-05-25;;NL0013025562;NL;ECO5N;EN Climate Objective 50 Euro EW NR;XAMS;;;3151.84;;3164.57;;3164.569083;;;;;;;NL0013025554;;;;1.166397017;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0013025554;06-05-25;;NL0013025554;NL;ECO5P;EN Climate Objective 50 Euro EW;XAMS;;870771.1697;2255.41;;2258.02;;2258.02173;;1966220223;;50;EUR;1;;NL0013025570;NL0013025562;;;;ECB;EU Price;Indices;;;;;0;
;NL0013025505;06-05-25;;NL0013025505;NL;FRENV;EN CDP Environment France EW D 5%;XAMS;;;974.46;;974.13;;974.1260843;;;;;;;NL0013025489;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0013025497;06-05-25;;NL0013025497;NL;FRENG;EN CDP Environment France EW GR;XAMS;;;3027.43;;3029.09;;3029.092375;;;;;;;NL0013025471;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0013025489;06-05-25;;NL0013025489;NL;FRENN;EN CDP Environment France EW NR;XAMS;;;2564.88;;2565.06;;2565.060791;;;;;;;NL0013025471;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0013025471;06-05-25;;NL0013025471;NL;FRENP;EN CDP Environment France EW;XAMS;;111298600.5;1680.17;;1677.87;;1677.87483;;1.86745E+11;;40;EUR;1;;NL0013025497;NL0013025489;;;;ECB;EU Price;Indices;;;;;0;
;NL0012949176;06-05-25;;NL0012949176;NL;EZNE1;EN Eurozone Next 100 EW Decrement 5%;XAMS;;;1081.06;;1085.7;;1085.704746;;;;;;;NL0012949150;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0012949168;06-05-25;;NL0012949168;NL;EZN1G;EN Eurozone Next 100 EW GR;XAMS;;;3278.27;;3293.87;;3293.867302;;;;;;;NL0012949143;;;0.688681524;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0012949150;06-05-25;;NL0012949150;NL;EZN1N;EN Eurozone Next 100 EW NR;XAMS;;;2845.19;;2858.59;;2858.590997;;;;;;;NL0012949143;;;;0.482077067;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0012949143;06-05-25;;NL0012949143;NL;EZN1P;EN Eurozone Next 100 EW;XAMS;;955847.3356;1849.76;;1858.21;;1858.210685;;1776165732;;100;EUR;1;;NL0012949168;NL0012949150;;;;ECB;EU Price;Indices;;;;;0;
;NL0012949135;06-05-25;;NL0012949135;NL;EZ150;Euronext Eurozone 150 EW Decrement 5%;XAMS;;;1121.44;;1126.01;;1126.007604;;;;;;;NL0012949119;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0012949127;06-05-25;;NL0012949127;NL;EZ15G;Euronext Eurozone 150 EW GR;XAMS;;;3430.85;;3447.49;;3447.49212;;;;;;;NL0012949101;;;0.679295411;;BE0003565737 BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0012949119;06-05-25;;NL0012949119;NL;EZ15N;Euronext Eurozone 150 EW NR;XAMS;;;2951.45;;2964.67;;2964.672065;;;;;;;NL0012949101;;;;0.475506788;BE0003565737 BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0012949101;06-05-25;;NL0012949101;NL;EZ15P;Euronext Eurozone 150 EW;XAMS;;970122.1875;1861.72;;1868.06;;1868.056674;;1812243227;;150;EUR;1;;NL0012949127;NL0012949119;;;;ECB;EU Price;Indices;;;;;0;
;NL0012846299;06-05-25;;NL0012846299;NL;EZ60;Euronext Eurozone 60 EW Decrement 50P;XAMS;;;1337.11;;1342.37;;1342.371504;;;;;;;NL0012846281;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;365;0;
;NL0012846281;06-05-25;;NL0012846281;NL;EZ60G;Euronext Eurozone 60 EW GR;XAMS;;;3454.93;;3469.58;;3469.578597;;;;;;;NL0012846265;;;0.521094255;;BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0012846273;06-05-25;;NL0012846273;NL;EZ60N;Euronext Eurozone 60 EW NR;XAMS;;;2953.04;;2963.07;;2963.071289;;;;;;;NL0012846265;;;;0.364765978;BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0012846265;06-05-25;;NL0012846265;NL;EZ60P;Euronext Eurozone 60 EW;XAMS;;1029341.611;1780.19;;1781.86;;1781.863444;;1834146189;;60;EUR;1;;NL0012846281;NL0012846273;;;;ECB;EU Price;Indices;;;;;0;
;NL0012758650;06-05-25;;NL0012758650;NL;ES1ED;EN Europe Sustainable 100 EW D 50P;XAMS;;;1563.76;;1570.06;;1570.055419;;;;;;;NL0012758643;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;365;0;
;NL0012758643;06-05-25;;NL0012758643;NL;ES1EG;EN Europe Sustainable 100 EW GR;XAMS;;;2246.77;;2256.41;;2256.405433;;;;;;;NL0012758627;;;0.603446064;;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0012758635;06-05-25;;NL0012758635;NL;ES1EN;EN Europe Sustainable 100 EW NR;XAMS;;;2104.6;;2113.19;;2113.189046;;;;;;;NL0012758627;;;;0.422412245;BE0003565737;ECB;TR1;Indices;;;;;0;
;NL0012758627;06-05-25;;NL0012758627;NL;ES1EP;EN Europe Sustainable 100 EW;XAMS;;1359501.784;1665.81;;1671.56;;1671.560516;;2272489503;;100;EUR;1;;NL0012758643;NL0012758635;;;;ECB;EU Price;Indices;;;;;0;
;NL0012758619;06-05-25;;NL0012758619;NL;CLIE5;EN EZ EnergyTransition Leaders 50 EW D5%;XAMS;;;2123.41;;2130.35;;2130.353251;;;;;;;NL0012758593;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0012758601;06-05-25;;NL0012758601;NL;CLE5G;EN EZ EnergyTransition Leaders 50 EW GR;XAMS;;;5537.48;;5562.15;;5562.151006;;;;;;;NL0012758585;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0012758593;06-05-25;;NL0012758593;NL;CLE5N;EN EZ EnergyTransition Leaders 50 EW NR;XAMS;;;4807.97;;4825.66;;4825.656219;;;;;;;NL0012758585;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0012758585;06-05-25;;NL0012758585;NL;CLE5P;EN EZ EnergyTransition Leaders 50 EW;XAMS;;665285.4003;3171.7;;3176.15;;3176.1497;;2113046024;;50;EUR;1;;NL0012758601;NL0012758593;;;;ECB;EU Price;Indices;;;;;0;
;NL0012758577;06-05-25;;NL0012758577;NL;ESGE4;Euronext Eurozone ESG Leaders 40 EW D 5%;XAMS;;;1923.51;;1927.93;;1927.930466;;;;;;;NL0012758551;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0012758569;06-05-25;;NL0012758569;NL;ESE4G;Euronext Eurozone ESG Leaders 40 EW GR;XAMS;;;5074.99;;5093.7;;5093.699794;;;;;;;NL0012758544;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0012758551;06-05-25;;NL0012758551;NL;ESE4N;Euronext Eurozone ESG Leaders 40 EW NR;XAMS;;;4355.5;;4367.29;;4367.288456;;;;;;;NL0012758544;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0012758544;06-05-25;;NL0012758544;NL;ESE4P;Euronext Eurozone ESG Leaders 40 EW;XAMS;;660639.3872;2799.29;;2798.8;;2798.798127;;1848996279;;40;EUR;1;;NL0012758569;NL0012758551;;;;ECB;EU Price;Indices;;;;;0;
;NL0012731905;06-05-25;;NL0012731905;NL;EZ40;Euronext Eurozone 40 EW Decrement 5%;XAMS;;;985.02;;986.76;;986.7563618;;;;;;;NL0012731889;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0012731897;06-05-25;;NL0012731897;NL;EZ40G;Euronext Eurozone 40 EW GR;XAMS;;;2778.4;;2787.17;;2787.168811;;;;;;;NL0012731871;;;0.660094435;;BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0012731889;06-05-25;;NL0012731889;NL;EZ40N;Euronext Eurozone 40 EW NR;XAMS;;;2378.08;;2383.25;;2383.250799;;;;;;;NL0012731871;;;;0.462066105;BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0012731871;06-05-25;;NL0012731871;NL;EZ40P;Euronext Eurozone 40 EW;XAMS;;1003797.282;1496.32;;1495.26;;1495.256431;;1500934342;;40;EUR;1;;NL0012731897;NL0012731889;;;;ECB;EU Price;Indices;;;;;0;
;NL0012730667;06-05-25;;NL0012730667;NL;FGIND;EN Top 30 Fra Ger Industrials EW D 5%;XAMS;;;1859.08;;1870.13;;1870.132015;;;;;;;NL0012730642;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0012730659;06-05-25;;NL0012730659;NL;FGING;EN Top 30 Fra Ger Industrials EW GR;XAMS;;;5570.59;;5610.83;;5610.832892;;;;;;;NL0012730634;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0012730642;06-05-25;;NL0012730642;NL;FGINN;EN Top 30 Fra Ger Industrials EW NR;XAMS;;;4931.74;;4963.08;;4963.083127;;;;;;;NL0012730634;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0012730634;06-05-25;;NL0012730634;NL;FGINP;EN Top 30 Fra Ger Industrials EW;XAMS;;885565.9195;3595.62;;3609.4;;3609.39628;;3196358336;;30;EUR;1;;NL0012730659;NL0012730642;;;;ECB;EU Price;Indices;;;;;0;
;NL0012730485;06-05-25;;NL0012730485;NL;EFMED;EN Founding Members Europe 50 EW D 5%;XAMS;;;1106.59;;1110.05;;1110.054047;;;;;;;NL0012730469;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0012730477;06-05-25;;NL0012730477;NL;EFMEG;EN Founding Members Europe 50 EW GR;XAMS;;;3078.01;;3092.04;;3092.041068;;;;;;;NL0012730451;;;0.618086669;;BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0012730469;06-05-25;;NL0012730469;NL;EFMEN;EN Founding Members Europe 50 EW NR;XAMS;;;2663.03;;2672.46;;2672.461353;;;;;;;NL0012730451;;;;0.432660668;BE0974293251;ECB;TR1;Indices;;;;;0;
;NL0012730451;06-05-25;;NL0012730451;NL;EFMEP;EN Founding Members Europe 50 EW;XAMS;;1007575.525;1756.86;;1757.9;;1757.9023;;1771219332;;50;EUR;1;;NL0012730477;NL0012730469;;;;ECB;EU Price;Indices;;;;;0;
;NL0012658785;06-05-25;;NL0012658785;NL;EFGG;Euronext France Germany Leaders 50 GR;XAMS;;;3529.01;;3545.25;;3545.250398;;;;;;;NL0012658769;;;0;;;ECB;TR1;Indices;;;;;0;
;NL0012658777;06-05-25;;NL0012658777;NL;EFGN;Euronext France Germany Leaders 50 NR;XAMS;;;3024.48;;3035.42;;3035.415452;;;;;;;NL0012658769;;;;0;;ECB;TR1;Indices;;;;;0;
;NL0012658769;06-05-25;;NL0012658769;NL;EFGP;Euronext France Germany Leaders 50;XAMS;;1621415855;1865.84;;1867.2;;1867.19844;;3.02751E+12;;50;EUR;1;;NL0012658785;NL0012658777;;;;ECB;EU Price;Indices;;;;;0;
;NL0012483945;06-05-25;;NL0012483945;NL;COR3D;Euronext Core Europe 30 EW D 5% GR;XAMS;;;1568.05;;1571.67;;1571.670216;;;;;;;NL0012483937;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;0.05;1;365;0;
;NL0012483937;06-05-25;;NL0012483937;NL;COR3G;Euronext Core Europe 30 EW GR;XAMS;;;4126.41;;4137.63;;4137.634542;;;;;;;NL0012483903;;;1.273967548;;BE0974293251;ECB;TR1;Indices;;;;;0;
